Country,Socialist/postsocialist? 
Australia,0
Austria,0
Belgium,0
Canada,0
Chile,0
Czech Republic,1
Denmark,0
Estonia,1
Finland,0
France,0
Germany,0
Greece,0
Hungary,1
Iceland,0
Ireland,0
Israel,0
Italy,0
Japan,0
Korea,0
Latvia,1
Luxembourg,0
Mexico,0
Netherlands,0
New Zealand,0
Norway,0
Poland,1
Portugal,0
Slovak Republic,1
Slovenia,1
Spain,0
Sweden,0
Switzerland,0
Turkey,0
United Kingdom,0
United States,0
Costa Rica,0
Bulgaria,1
Croatia,1
Cyprus,0
Lithuania,1
Malta,0
Romania,1
